FirstName,LastName,BirthDate,Gender,Address,City,State,ZipCode,PhoneNumber,Email,SmokerStatus,Height,Weight,Occupation,AnnualIncome,PolicyNumber,PolicyType,IssueDate,MaturityDate,DeathBenefitAmount,PremiumAmount,PremiumFrequency,CashValue,SurrenderChargePercent,Status,RiskClass,UnderwritingDecision,BeneficiaryFirstName,BeneficiaryLastName,RelationshipToInsured,BeneficiaryType,PercentageShare,BeneficiaryAddress,BeneficiaryCity,BeneficiaryState,BeneficiaryZipCode,BeneficiaryPhone,BeneficiaryEmail,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,ReferenceNumber,DueDate,LateFee,ProcessedBy
Michelle,Morgan,1967-11-02,F,761 Anthony Ports,New Christopher,UT,85436,978-906-1902x23116,hughesmargaret@example.net,N,66.3,185.7,Graphic Designer,59060.37,LI22795058,Term,2022-05-22,2037-05-18,280000.0,28.35,Monthly,0.0,0.0,Active,Substandard,Approved,Jacob,Morgan,Child,Primary,100.0,761 Anthony Ports,New Christopher,UT,85436,+1-510-639-3481x003,jason93@example.org,2023-04-26,28.35,Credit Card,Completed,CC-65619176,2023-04-17,10.0,Customer Service
Julia,Henderson,1986-02-09,F,827 Davis Parkway,East Kimberlyside,DC,52021,(357)302-7937x14521,fwalters@example.net,N,71.1,207.5,Designer,37299.99,LI34347260,Term,2017-05-23,2027-05-21,500000.0,10.8,Monthly,0.0,0.0,Active,Preferred Plus,Approved,Courtney,Henderson,Sibling,Primary,48.0,273 Richards Motorway Apt. 381,Woodwardland,DC,76915,(213)351-1133,alvarezjacob@example.net,2017-05-21,10.8,Credit Card,Completed,CC-11966290,2017-05-23,0.0,System
Richard,Brewer,1970-07-22,M,821 Griffith Pike,Hannahview,VI,86784,446.901.9134x43899,hernandezandrew@example.net,Y,73.6,172.6,Nurse,75059.23,LI75855920,Term,2019-05-23,2029-05-20,760000.0,76.95,Monthly,0.0,0.0,Active,Substandard,Approved,Debbie,Brewer,Sibling,Primary,100.0,361 Wyatt Way,Lake Jacqueline,RI,05819,+1-879-929-6863,ocarey@example.net,2022-06-06,76.95,Credit Card,Completed,CC-15974811,2022-06-06,0.0,Auto-Payment
Luis,Gould,1952-09-08,M,092 Smith Lake Apt. 388,Richardberg,MA,73561,001-466-905-9867x87442,william48@example.net,N,65.9,183.1,Lawyer,134401.31,LI26882413,Universal,2020-05-22,2047-05-16,1500000.0,1012.5,Monthly,14608.47,15.0,Active,Standard,Approved,Ethan,Garcia,Parent,Primary,100.0,1877 Lane Passage,Jasonstad,PW,21873,585-835-5995x15414,robertsamy@example.org,2022-03-13,1012.5,Credit Card,Completed,CC-11154456,2022-03-13,0.0,Agent
Patrick,Kelley,1962-04-02,M,8622 Hansen Oval,Pearsonborough,OH,81240,001-783-731-4659x1166,malikwheeler@example.org,N,69.6,186.5,Software Developer,103416.35,LI86776594,Variable,2016-05-23,2053-05-14,950000.0,598.5,Monthly,28219.42,11.0,Active,Preferred,Rated,Kelley Family,Trust,Trust,Primary,100.0,19335 Adrian Mews Apt. 260,North Veronica,WA,36719,(266)433-1614,danielbrown@example.org,2023-08-15,598.5,Check,Completed,CHK-39263685,2023-08-15,0.0,Customer Service
Daniel,Sloan,1978-11-23,M,93899 Philip Expressway,North Kathryntown,NM,10575,(775)632-1633x61317,websterbrandon@example.net,N,68.0,173.6,Office Manager,53990.49,LI24732222,Indexed Universal,2017-05-23,2070-05-10,440000.0,158.4,Monthly,5556.66,12.0,Active,Standard,Approved,Antonio,Sloan,Child,Primary,100.0,9915 Karen Grove Apt. 750,North Nicholasville,MA,26344,+1-264-643-1623x0030,kimberly20@example.net,2019-06-12,158.4,Check,Completed,CHK-40975628,2019-06-12,0.0,Agent
Michelle,Miller,1996-10-07,F,78969 Miller Valley,North Katherine,SD,66523,(827)475-8670x365,doughertyjulie@example.org,N,64.8,189.3,Lawyer,122966.18,LI15192924,Term,2015-05-24,2025-05-21,770000.0,20.79,Monthly,0.0,0.0,Active,Standard,Approved,Lynn,Miller,Sibling,Primary,31.0,4530 Anderson Coves,Jenniferbury,GU,11697,001-866-651-8999x403,tayloramber@example.org,2017-06-14,20.79,Credit Card,Completed,CC-70614650,2017-06-12,10.0,Auto-Payment
Gerald,Chapman,1969-02-19,M,942 Kevin Ridges Apt. 165,East Sarahtown,FM,05665,4243539313,miranda13@example.org,N,70.5,210.5,Manager,68841.61,LI41015964,Whole Life,2016-05-23,2060-05-12,370000.0,374.62,Monthly,12683.92,11.0,Active,Substandard,Approved,April,Patterson,Parent,Primary,100.0,454 Smith Islands Apt. 965,South Brandon,VI,33824,368.509.8568x3505,kyle02@example.com,2024-09-08,374.62,Bank Transfer,Completed,ACH-20766236,2024-09-08,0.0,System
Drew,Miller,1987-01-22,M,9161 Smith Bridge Apt. 218,South Anneland,SD,38076,534-947-6094,vroberts@example.org,N,65.4,188.7,Attorney,243210.32,LI13554413,Universal,2016-05-23,2078-05-08,1800000.0,311.04,Monthly,9512.69,11.0,Active,Preferred,Approved,Brett,Wells,Parent,Primary,100.0,88575 Joseph Lakes Apt. 164,Lake Austin,CO,15034,001-480-382-9548x5211,barbara46@example.org,2021-04-27,311.04,Check,Completed,CHK-67132308,2021-04-27,0.0,System
Danielle,Garrison,1948-08-25,F,6564 Misty Lane Apt. 186,South Karen,MS,29098,499-456-9559,yjennings@example.com,N,65.7,156.6,Designer,42147.18,LI89749918,Whole Life,2016-05-23,2039-05-18,270000.0,455.62,Monthly,15080.51,11.0,Active,Substandard,Approved,Angela,Garrison,Child,Primary,100.0,6564 Misty Lane Apt. 186,South Karen,MS,29098,+1-654-231-2467x400,john81@example.com,2016-12-19,455.62,Bank Transfer,Completed,ACH-57713106,2016-12-19,0.0,System
Heidi,Tapia,1995-07-25,F,3494 Cindy Cape,Nicholeland,NJ,43465,418-287-0179x99324,justinrobinson@example.com,N,63.1,166.0,Office Manager,30889.32,LI36990381,Whole Life,2016-05-23,2086-05-06,290000.0,83.52,Monthly,3621.68,11.0,Active,Preferred,Approved,Mackenzie,Wilcox,Parent,Primary,100.0,93141 Caldwell Spurs Apt. 612,New Jeff,OH,12420,+1-794-454-9751,kendramaldonado@example.net,2023-01-17,83.52,Cash,Completed,CSH-93194078,2023-01-17,0.0,System
Lisa,Watson,1992-04-03,F,626 Jeffery Knoll,Hillport,MH,30764,(897)209-3170x6955,cgraham@example.com,Y,67.5,195.2,Architect,39950.64,LI43942849,Universal,2015-05-24,2082-05-07,240000.0,51.84,Monthly,1626.37,10.0,Active,Standard,Approved,Jeremy,Watson,Sibling,Primary,100.0,046 Kelli Cliff,New Heathermouth,VI,02619,+1-519-387-8350x5445,walkercody@example.com,2018-06-07,51.84,Bank Transfer,Completed,ACH-78953280,2018-06-07,0.0,Auto-Payment
Lisa,Calhoun,2002-08-05,F,769 Taylor Course Suite 588,West Crystalview,VI,38373,+1-883-655-3935x435,carla39@example.org,N,65.4,172.6,Receptionist,49081.23,LI47059340,Whole Life,2023-05-22,2100-05-03,530000.0,114.48,Monthly,574.14,18.0,Active,Preferred,Approved,Joseph,Calhoun,Spouse,Primary,100.0,769 Taylor Course Suite 588,West Crystalview,VI,38373,807-201-7744,kennethhansen@example.com,2024-01-12,114.48,Cash,Completed,CSH-89814340,2024-01-17,0.0,System
Danielle,Garrison,1948-08-25,F,6564 Misty Lane Apt. 186,South Karen,MS,29098,499-456-9559,yjennings@example.com,N,65.7,156.6,Designer,42147.18,LI89749918,Whole Life,2016-05-23,2039-05-18,270000.0,455.62,Monthly,15080.51,11.0,Active,Substandard,Approved,Angela,Garrison,Child,Primary,100.0,6564 Misty Lane Apt. 186,South Karen,MS,29098,+1-654-231-2467x400,john81@example.com,2020-07-31,455.62,Check,Completed,CHK-06048428,2020-07-31,0.0,System
Leslie,Alvarado,1950-02-05,F,72046 Lewis Islands Suite 646,Maryfort,AK,98677,+1-205-431-0033,davidcaldwell@example.net,N,66.1,181.2,Driver,27676.88,LI11265102,Variable,2018-05-23,2043-05-17,140000.0,88.2,Monthly,3644.58,13.0,Active,Preferred,Approved,Alvarado Family,Trust,Trust,Primary,100.0,508 Connie Field Apt. 298,Nolanchester,VT,27346,(379)204-2338,vwilliams@example.net,2020-02-12,88.2,Cash,Completed,CSH-24131367,2020-02-12,0.0,Agent
Jonathan,Stone,1978-12-29,M,47020 Austin Lane Suite 195,Port Evelyn,NM,34236,+1-926-963-2956x342,kflores@example.org,N,69.1,216.8,Nurse,52775.94,LI72024788,Term,2016-05-23,2036-05-18,440000.0,29.7,Monthly,0.0,0.0,Active,Substandard,Approved,Shannon,Stone,Spouse,Primary,70.0,47020 Austin Lane Suite 195,Port Evelyn,NM,34236,(984)504-2910x374,aevans@example.com,2024-09-08,29.7,Bank Transfer,Completed,ACH-78145487,2024-09-08,0.0,System
Eric,Ellis,1991-11-05,M,0531 Benjamin Keys Apt. 309,Crawfordborough,PA,59203,+1-584-921-8914x269,wquinn@example.net,N,70.5,228.4,Construction Worker,37966.06,LI04814984,Universal,2018-05-23,2084-05-06,190000.0,684.0,Annually,1359.48,13.0,Active,Substandard,Approved,Casey,Ellis,Sibling,Primary,58.0,1728 Walker Harbors Suite 878,South Robin,AZ,94566,+1-302-998-4558x28146,maryharrison@example.org,2025-05-21,684.0,Check,Completed,CHK-34146610,2025-05-21,0.0,Agent
Sherry,Jones,1954-03-19,F,38655 Rowland Gardens,Port Christinaborough,PR,70685,325-430-4289x7317,ppotter@example.net,Y,61.1,160.9,Lawyer,129073.43,LI74829332,Indexed Universal,2020-05-22,2049-05-15,680000.0,612.0,Monthly,7579.46,15.0,Active,Standard,Approved,Jones Family,Trust,Trust,Primary,100.0,990 Morris Locks Suite 223,West Hunter,KS,31988,9063319106,patrickallen@example.net,2024-05-01,612.0,Bank Transfer,Completed,ACH-47150544,2024-05-01,0.0,Auto-Payment
Kimberly,Calderon,1947-11-22,F,9901 Linda Radial Apt. 735,Susantown,IL,25407,001-717-639-3638x5467,michael77@example.org,N,65.2,188.6,Office Manager,34711.16,LI71633502,Whole Life,2023-05-22,2045-05-16,160000.0,270.0,Monthly,1321.82,18.0,Active,Substandard,Approved,Joseph,Calderon,Spouse,Primary,100.0,9901 Linda Radial Apt. 735,Susantown,IL,25407,899-705-0240,jonestaylor@example.net,2023-10-19,270.0,Credit Card,Completed,CC-50997594,2023-10-19,0.0,Agent
Michelle,Wallace,1949-11-19,F,212 Weber Prairie Suite 698,Shawnchester,CT,92484,883-867-3657,edwardslarry@example.com,N,63.7,181.0,Marketing Specialist,43342.74,LI56365859,Indexed Universal,2015-05-24,2039-05-18,520000.0,2704.0,Semi-annually,12399.76,10.0,Active,Standard,Approved,Cynthia,Travis,Parent,Primary,61.0,862 Brian Meadows,Kimberlyshire,FM,34503,+1-200-238-1803x64851,carloshernandez@example.org,2023-10-08,2704.0,Cash,Completed,CSH-43505828,2023-10-09,0.0,Auto-Payment
Bryan,Rhodes,1970-03-23,M,2404 Michael Mills Suite 733,Sarahview,DC,14817,+1-993-330-8330x165,adampierce@example.org,N,75.2,248.4,Designer,33039.86,LI68060139,Universal,2021-05-22,2066-05-11,280000.0,170.1,Monthly,1686.34,16.0,Active,Substandard,Approved,Erika,Rhodes,Spouse,Primary,100.0,2404 Michael Mills Suite 733,Sarahview,DC,14817,001-845-257-9537x2376,chad26@example.com,2023-03-19,170.1,Credit Card,Completed,CC-45102434,2023-03-13,10.0,Auto-Payment
Christopher,Padilla,1981-02-25,M,844 Debra Loaf Suite 884,Aguilarmouth,GA,74037,(475)395-8281x902,dmcgee@example.net,Y,70.5,189.7,Teacher,68199.63,LI65084999,Whole Life,2018-05-23,2074-05-09,630000.0,170.1,Monthly,4365.66,13.0,Active,Preferred Plus,Rated,William,Padilla,Sibling,Primary,100.0,29439 Garcia Summit,Tonyaville,AR,19970,+1-939-941-4290x09401,claire19@example.org,2020-07-11,170.1,Check,Completed,CHK-11053036,2020-07-11,0.0,System
James,Reed,1947-09-18,M,6277 Bowers Wall,Shannonmouth,WA,93219,(559)920-2461x75202,rebecca26@example.org,N,66.8,199.3,Engineer,88594.1,LI90814673,Term,2018-05-23,2038-05-18,990000.0,167.06,Monthly,0.0,0.0,Active,Substandard,Approved,Kathy,Reed,Sibling,Primary,72.0,893 Bobby Underpass Apt. 898,North Timothybury,FL,95833,(674)678-3019,smithstacey@example.org,2022-06-01,167.06,Bank Transfer,Completed,ACH-78914084,2022-06-01,0.0,Agent
William,Harrington,1985-11-15,M,081 Crystal Ways,West Eric,LA,93321,287.512.5521x376,gpeterson@example.org,Y,74.9,218.4,IT Specialist,42127.52,LI07264830,Variable,2015-05-24,2075-05-09,310000.0,146.47,Monthly,6192.59,10.0,Active,Substandard,Approved,Danielle,Duran,Parent,Primary,100.0,4918 Smith Square,Lake Jorge,WV,45821,+1-754-965-1206x90611,daniellemoore@example.org,2019-07-02,146.47,Check,Completed,CHK-49334932,2019-07-02,0.0,Customer Service
Luis,Thompson,1981-07-03,M,3595 Brandon Loaf Apt. 006,Hudsonshire,AL,84927,9699680186,bradley37@example.net,N,75.4,233.0,Designer,37701.83,LI28101495,Term,2018-05-23,2028-05-20,320000.0,21.6,Monthly,0.0,0.0,Paid-up,Substandard,Approved,Anthony,Medina,Parent,Primary,100.0,642 Ann Vista,Markton,NV,82722,001-632-300-8224,benjaminreyes@example.org,2024-05-21,21.6,Check,Completed,CHK-02816121,2024-05-21,0.0,Customer Service
Manuel,Brown,1969-11-14,M,3263 John Stream Suite 524,Dawnton,NC,54881,+1-840-735-5338x0339,scottsmith@example.com,Y,68.2,161.5,Pharmacist,95857.38,LI92899347,Whole Life,2020-05-22,2064-05-11,560000.0,567.0,Monthly,9328.92,15.0,Active,Substandard,Approved,Angela,Brown,Child,Primary,100.0,201 Mckenzie Drive Suite 126,Brownside,PW,55351,001-261-410-8403,emyers@example.org,2023-10-04,567.0,Credit Card,Completed,CC-13565482,2023-10-04,0.0,Auto-Payment
Shannon,Richards,1958-02-01,F,605 Curtis Vista Suite 679,Benjaminfurt,NM,67787,001-797-330-8069,patricia67@example.org,Y,62.8,148.0,Graphic Designer,54656.4,LI62850362,Whole Life,2023-05-22,2056-05-13,330000.0,556.88,Monthly,2687.54,18.0,Active,Substandard,Approved,Richards Family,Trust,Trust,Primary,100.0,986 Johnson Glen Suite 654,Chavezmouth,IN,52162,243-249-5412x1762,haynesmichelle@example.net,2025-04-11,556.88,Bank Transfer,Completed,ACH-66006184,2025-04-11,0.0,Auto-Payment
Kenneth,Farmer,1962-02-16,M,021 Krueger Lake Suite 325,Perezstad,MA,26582,+1-744-290-2166x67080,gforbes@example.com,N,72.3,246.3,Accountant,64375.56,LI22889597,Universal,2017-05-23,2054-05-14,350000.0,236.25,Monthly,6106.73,12.0,Active,Standard,Approved,Melissa,Farmer,Sibling,Primary,100.0,274 Gina Views,New Zacharyland,FL,18639,5218512851,antonio41@example.net,2024-08-14,236.25,Credit Card,Completed,CC-43768219,2024-08-14,0.0,Agent
Thomas,Morales,1976-03-06,M,0321 Carrie Alley,Rodriguezchester,IA,67779,+1-652-677-8956x13371,brittany29@example.com,N,66.8,185.3,Project Manager,129412.59,LI74318503,Universal,2018-05-23,2069-05-10,790000.0,170.64,Monthly,4361.89,13.0,Active,Preferred,Approved,Kevin,Smith,Parent,Primary,100.0,796 Moore Mount Suite 097,Edwardbury,MP,77437,+1-713-385-4131x744,johnny23@example.org,2023-02-26,170.64,Cash,Completed,CSH-68893706,2023-02-26,0.0,Agent
Ruth,Vega,1949-08-05,F,97535 Ortiz Greens,West Tabithaton,ID,88224,+1-980-827-3042,robertpeck@example.net,N,65.9,179.3,Accountant,66067.43,LI43128746,Universal,2018-05-23,2042-05-17,570000.0,384.75,Monthly,11230.52,13.0,Active,Standard,Approved,Jose,Vega,Sibling,Primary,100.0,70144 Webb Squares Suite 892,Petersville,VA,19544,+1-859-683-3991x97936,davidjones@example.net,2020-05-12,384.75,Check,Pending,CHK-62426812,2020-05-12,0.0,Customer Service
Dana,Robles,1948-07-02,F,9685 Silva Plains,East Terrance,PA,45445,550-589-2038x8065,kristenpeterson@example.net,N,64.3,176.3,Teacher,52542.9,LI10714897,Indexed Universal,2018-05-23,2041-05-17,450000.0,607.5,Monthly,11028.1,13.0,Active,Substandard,Approved,Nancy,Robles,Sibling,Primary,100.0,3126 Mitchell Square,Evansberg,PW,82842,+1-745-795-8769,bowmanrobert@example.org,2024-03-22,607.5,Bank Transfer,Completed,ACH-12434657,2024-03-22,0.0,Agent
Sarah,Salinas,1968-07-12,F,39559 Jade Knoll,New Stacy,MP,65018,+1-542-270-1039,nsmith@example.org,N,63.6,142.1,Retail Associate,57272.01,LI84053467,Variable,2020-05-22,2063-05-12,270000.0,76.55,Monthly,1292.13,15.0,Active,Preferred Plus,Approved,Salinas Family,Trust,Trust,Primary,100.0,13054 Sarah Plains,Dianaburgh,MI,83110,211-690-3594,dorothycampbell@example.org,2020-09-21,76.55,Bank Transfer,Completed,ACH-76788858,2020-09-19,10.0,Customer Service
Elijah,Montes,1958-02-11,M,183 Baker Hills Suite 391,New Matthewland,OK,70108,863.651.4846x8536,jpowers@example.org,N,68.9,182.6,Sales Representative,50078.01,LI96373269,Indexed Universal,2023-05-22,2056-05-13,280000.0,252.0,Monthly,792.34,18.0,Active,Standard,Approved,Montes Family,Trust,Trust,Primary,50.0,52553 Jacob Summit,South Robertburgh,ND,04192,001-854-517-5401,wmendez@example.net,2023-09-19,252.0,Cash,Completed,CSH-44041290,2023-09-19,0.0,Customer Service
Michelle,Stanley,1944-06-21,F,85500 Brenda Turnpike,Leehaven,AL,14385,7122457181,padkins@example.org,N,62.8,172.2,Teacher,63133.82,LI16398340,Indexed Universal,2017-05-23,2036-05-18,660000.0,594.0,Monthly,21261.48,12.0,Active,Standard,Approved,Robert,Stanley,Spouse,Primary,100.0,84384 Wilson Spurs,Wheelerside,MH,13999,522.412.4954,lopezmatthew@example.com,2020-12-01,594.0,Bank Transfer,Completed,ACH-56896573,2020-12-03,0.0,Auto-Payment
Jasmine,Cohen,1949-05-01,F,312 Jonathan Junctions Suite 068,South Ashley,NM,82601,268.929.3844x0134,matthewyoung@example.net,N,64.7,183.6,Construction Worker,34023.67,LI60229269,Whole Life,2018-05-23,2042-05-17,220000.0,247.5,Monthly,6546.6,13.0,Active,Standard,Rated,Christopher,Brooks,Parent,Primary,62.0,21168 Powell Shores Apt. 289,New Natalie,CO,34226,+1-689-565-6917x815,vpratt@example.org,2019-07-22,247.5,Bank Transfer,Completed,ACH-50735849,2019-07-17,12.38,System
Shannon,Gordon,2003-04-06,F,8472 Green Turnpike,New Jamie,PR,01955,759-569-2066x6048,whitejohnny@example.com,N,61.3,154.2,Receptionist,43036.54,LI94088269,Universal,2019-05-23,2097-05-03,380000.0,184.68,Quarterly,1410.76,14.0,Paid-up,Standard,Approved,Anthony,Gordon,Child,Primary,100.0,9569 Wolfe Rapid,Torresville,ME,42922,787-636-5158,kellysilva@example.org,2024-04-26,184.68,Check,Completed,CHK-77533291,2024-04-26,0.0,Agent
James,Manning,1946-07-15,M,374 Robert Plaza,Marshberg,MD,98947,001-268-762-1102x25803,vbray@example.org,N,61.9,154.3,Customer Service Representative,27260.77,LI00683607,Indexed Universal,2018-05-23,2039-05-18,170000.0,153.0,Monthly,2984.41,13.0,Active,Standard,Approved,Maria,Manning,Spouse,Primary,100.0,881 Perry Islands,Davidborough,WY,44426,255-679-7079x077,matthew30@example.org,2023-04-27,153.0,Check,Completed,CHK-98377866,2023-04-27,0.0,System
Joe,Trevino,1953-11-30,M,461 Bennett Mountains Apt. 988,Davidmouth,OR,76617,(999)761-0023x117,tinastokes@example.net,N,72.9,220.6,Sales Representative,53191.44,LI99984318,Whole Life,2016-05-23,2044-05-16,560000.0,504.0,Monthly,21959.69,11.0,Active,Preferred,Approved,Trevino Family,Trust,Trust,Primary,100.0,579 Cruz Crossroad,Wheelerborough,IA,74755,930-902-5539x52563,danielmontoya@example.org,2016-10-20,504.0,Credit Card,Completed,CC-21091488,2016-10-20,0.0,Agent
Thomas,Kelly,1964-02-10,M,183 Kathy Rapid Apt. 855,Josephstad,CT,70548,001-852-702-8457,curtismoore@example.org,N,66.2,171.5,Engineer,114614.26,LI06623387,Variable,2021-05-22,2060-05-12,740000.0,466.2,Monthly,8361.68,16.0,Active,Preferred,Approved,David,Brown,Parent,Primary,100.0,2147 Michelle Villages Apt. 653,Robinsontown,MD,27218,001-842-389-0781x62930,mikayla71@example.org,2025-01-01,466.2,Bank Transfer,Completed,ACH-75178711,2025-01-01,0.0,Customer Service
Patrick,Kelley,1962-04-02,M,8622 Hansen Oval,Pearsonborough,OH,81240,001-783-731-4659x1166,malikwheeler@example.org,N,69.6,186.5,Software Developer,103416.35,LI86776594,Variable,2016-05-23,2053-05-14,950000.0,598.5,Monthly,28219.42,11.0,Active,Preferred,Rated,Kelley Family,Trust,Trust,Primary,100.0,19335 Adrian Mews Apt. 260,North Veronica,WA,36719,(266)433-1614,danielbrown@example.org,2017-05-18,598.5,Bank Transfer,Completed,ACH-72073202,2017-05-18,0.0,Agent
Linda,Clark,1950-03-07,F,033 Heather Garden,Davisfurt,FL,71843,335.268.9058,pottsmichael@example.org,N,66.3,198.7,Financial Analyst,44273.13,LI60980135,Universal,2019-05-23,2044-05-16,270000.0,182.25,Monthly,3570.22,14.0,Active,Standard,Approved,Ryan,Clark,Sibling,Primary,64.0,880 Vicki Shores Apt. 539,West Natalieborough,HI,14930,(996)336-0402x451,ashley52@example.net,2019-10-16,182.25,Cash,Completed,CSH-77738759,2019-10-20,0.0,System
Gerald,Chapman,1969-02-19,M,942 Kevin Ridges Apt. 165,East Sarahtown,FM,05665,4243539313,miranda13@example.org,N,70.5,210.5,Manager,68841.61,LI41015964,Whole Life,2016-05-23,2060-05-12,370000.0,374.62,Monthly,12683.92,11.0,Active,Substandard,Approved,April,Patterson,Parent,Primary,100.0,454 Smith Islands Apt. 965,South Brandon,VI,33824,368.509.8568x3505,kyle02@example.com,2018-03-14,374.62,Cash,Completed,CSH-39920349,2018-03-14,0.0,Auto-Payment
Katie,Sweeney,1979-01-02,F,031 Dodson Forges Suite 137,New Danielle,AL,06429,(431)440-3526x3560,christyscott@example.com,N,60.1,131.0,Teacher,86744.29,LI09556349,Universal,2018-05-23,2072-05-09,1030000.0,166.86,Monthly,4197.81,13.0,Active,Preferred Plus,Approved,Robert,Sweeney,Child,Primary,100.0,031 Dodson Forges Suite 137,New Danielle,AL,06429,001-403-553-3635x9217,alex51@example.com,2018-07-22,166.86,Bank Transfer,Completed,ACH-49245988,2018-07-22,0.0,Auto-Payment
Heather,Miller,1987-06-13,F,320 Anthony Ramp Apt. 761,Victormouth,AK,05356,205-406-1387x82931,evaldez@example.net,N,62.5,165.6,Office Manager,31410.79,LI03541961,Whole Life,2021-05-22,2083-05-07,200000.0,249.6,Semi-annually,627.66,16.0,Active,Preferred Plus,Approved,Sharon,Miller,Child,Primary,24.0,09215 Shaun Fall Suite 978,East Roberto,MP,61300,908-891-2059x944,davisemily@example.org,2022-05-17,249.6,Bank Transfer,Completed,ACH-11032502,2022-05-17,0.0,Agent
Richard,Mack,1989-07-10,M,9388 Chan Walk,South Ann,MA,23731,+1-330-461-5370,gary44@example.com,N,72.3,250.9,Pharmacist,124506.09,LI01585637,Universal,2016-05-23,2080-05-07,700000.0,226.8,Monthly,7737.75,11.0,Active,Substandard,Rated,Amanda,Mack,Sibling,Primary,100.0,79834 Adam View Suite 160,Lake Anthonybury,WI,14890,534.999.6321x553,james75@example.org,2021-04-27,226.8,Credit Card,Completed,CC-91720504,2021-04-27,0.0,Auto-Payment
Joe,Trevino,1953-11-30,M,461 Bennett Mountains Apt. 988,Davidmouth,OR,76617,(999)761-0023x117,tinastokes@example.net,N,72.9,220.6,Sales Representative,53191.44,LI99984318,Whole Life,2016-05-23,2044-05-16,560000.0,504.0,Monthly,21959.69,11.0,Active,Preferred,Approved,Trevino Family,Trust,Trust,Primary,100.0,579 Cruz Crossroad,Wheelerborough,IA,74755,930-902-5539x52563,danielmontoya@example.org,2018-09-10,504.0,Bank Transfer,Completed,ACH-21263426,2018-09-10,0.0,System
Martha,Johnson,1973-01-23,F,50238 Glass Shore Apt. 371,West Tinachester,PA,97401,+1-718-872-4010x783,oturner@example.org,N,64.0,181.1,Driver,36506.26,LI30022174,Term,2020-05-22,2030-05-20,170000.0,11.47,Monthly,0.0,0.0,Active,Standard,Approved,Johnson Family,Trust,Trust,Primary,100.0,392 Miller Court,New Mary,CT,80501,+1-379-921-6501,stephen01@example.net,2023-12-01,11.47,Cash,Completed,CSH-05172175,2023-12-03,0.0,Customer Service
Robin,Evans,1947-06-13,F,85025 Brown Stravenue,Port Sharon,KY,38321,+1-548-567-2288x39047,kingmichael@example.com,N,65.5,224.1,Teacher,48836.1,LI06974156,Variable,2017-05-23,2039-05-18,210000.0,248.06,Monthly,9434.82,12.0,Active,Substandard,Approved,David,Evans,Sibling,Primary,100.0,59797 Angelica Parkways,Craighaven,MT,62274,+1-939-436-9394x995,andersonjamie@example.com,2019-11-05,248.06,Credit Card,Completed,CC-66412541,2019-11-09,0.0,Agent
Thomas,Bradley,1945-07-30,M,65812 Anthony Land Apt. 294,North Marcuschester,IL,06011,(995)459-6363,njackson@example.net,N,66.7,156.4,Nurse,66823.61,LI94111438,Whole Life,2016-05-23,2036-05-18,530000.0,3445.0,Semi-annually,22582.01,11.0,Active,Standard,Approved,Christopher,Bradley,Child,Primary,100.0,65812 Anthony Land Apt. 294,North Marcuschester,IL,06011,001-607-611-3503x36689,troyharris@example.com,2017-05-18,3445.0,Check,Completed,CHK-31910567,2017-05-18,0.0,System
Cynthia,Duncan,1978-06-05,F,984 Wilkerson Freeway,Port Lindsaymouth,MP,77089,001-263-963-2123x4764,holly15@example.net,N,65.4,180.8,Doctor,264278.94,LI29037824,Term,2017-05-23,2037-05-18,1280000.0,46.08,Monthly,0.0,0.0,Active,Preferred,Approved,Lori,Duncan,Sibling,Primary,86.0,0242 Ronald Garden,Wrightborough,NH,33188,+1-301-531-8434,michele71@example.com,2021-07-30,46.08,Cash,Completed,CSH-67649525,2021-07-31,0.0,Customer Service
Jacqueline,Hernandez,1976-08-28,F,11615 Angela Radial,Elizabethchester,MI,87708,001-360-749-4519x83273,danny49@example.org,N,63.9,180.2,Customer Service Representative,61494.98,LI37904856,Whole Life,2016-05-23,2067-05-11,530000.0,3975.0,Annually,12084.86,11.0,Active,Substandard,Approved,Hernandez Family,Trust,Trust,Primary,100.0,1004 Smith Bridge Suite 131,West Michael,WA,60166,001-742-807-2239,fanderson@example.com,2023-05-25,3975.0,Credit Card,Completed,CC-45788578,2023-05-22,198.75,Agent
Dawn,Ross,1992-11-23,F,3726 John Drive Apt. 450,Stevenfurt,FM,86147,(619)445-8870x71553,gaydustin@example.net,N,64.9,155.5,Driver,51368.87,LI64996575,Universal,2016-05-23,2083-05-07,600000.0,103.68,Monthly,3173.31,11.0,Active,Preferred,Approved,Regina,Bailey,Parent,Primary,20.0,345 Martin Port,East Kevin,PA,43126,(751)858-2230x94760,vortiz@example.com,2024-07-16,103.68,Cash,Completed,CSH-39584652,2024-07-10,10.0,System
Amanda,Cannon,1997-06-20,F,001 Martin Summit,North Haileyfort,AS,13380,685.609.0255x618,erik82@example.net,N,66.9,164.6,Teacher,54488.55,LI70477909,Whole Life,2017-05-23,2089-05-05,390000.0,105.3,Monthly,3741.53,12.0,Active,Standard,Approved,Brenda,Cannon,Sibling,Primary,100.0,45129 Mckenzie Ridges Suite 285,Amyfort,RI,94961,616.902.7863,xosborne@example.net,2017-05-23,105.3,Check,Completed,CHK-87071206,2017-05-23,0.0,System
