FirstName,LastName,BirthDate,Gender,Address,City,State,ZipCode,CreditScore,MaritalStatus,DriverLicenseNumber,Make,Model,Year,VIN,Color,VehicleType,EstimatedValue,AnnualMileage,PolicyNumber,EffectiveDate,ExpirationDate,PremiumAmount,CoverageType,Deductible,LiabilityLimit,ComprehensiveCoverage,CollisionCoverage,UninsuredMotoristCoverage,ClaimNumber,DateOfIncident,DateReported,IncidentDescription,IncidentLocation,ClaimAmount,SettlementAmount,ClaimStatus,FaultFlag
Gregory,Brown,2007-01-13,M,0462 Katie Stream,Brooksfurt,AR,59291,434,W,AR08178803,Subaru,Outback,2014,YC4I6H1M3JLZOHFDD,Gold,Luxury,23491,22242,P059448711,2023-05-22,2026-05-21,1953.51,Custom,250,100000,0,0,0,C50210567,2023-10-24,2023-11-18,Single-vehicle accident due to weather,"94206 Jones Shore Suite 980, Coltonborough, VA",18026.79,16808.89,Closed,0.0
Steve,Taylor,1991-10-11,M,58853 Perkins Extensions Apt. 433,Isaacfort,UT,49652,605,S,UT46248641,Honda,HR-V,2025,2GWA654NVGUW6YZ7R,Green,Hatchback,17275,10865,P147082883,2022-05-22,2024-05-21,497.52,Basic,2000,250000,1,1,0,C83406685,2022-12-27,2023-01-17,Fire damage,"90533 Gonzales Burgs, Victorfort, MH",2280.82,,Under Investigation,0.0
Steven,Ford,1994-10-15,M,495 Jared Spur,Laurenstad,MT,09179,646,S,MT06085772,Mercedes,A-Class,2005,CWI2SKHKXVS6AYLLD,Green,SUV,2000,9156,P892441978,2024-05-21,2026-05-21,102.96,Premium,250,1000000,1,0,0,,,,,,,,,
Candace,Walker,1996-03-09,F,29087 Kelly Cliff,Coreyshire,KS,64358,730,D,KS60803338,Subaru,Outback,2024,VVBBBVMIA63YMDDVX,Yellow,Coupe,22648,10577,P641837988,2023-05-22,2026-05-21,747.38,Custom,500,25000,0,0,1,C23191121,2024-09-07,2024-09-13,Hail damage,"351 Lisa Heights Suite 847, Jamesfurt, HI",9391.67,9355.82,Closed,0.0
Veronica,Stewart,1971-03-19,F,1337 Patricia Plains Suite 449,Lake Susanshire,NM,42840,757,D,NM55229874,Mercedes,E-Class,2008,BCY7TXB60I8C9FN01,Red,SUV,7818,19556,P714472857,2022-05-22,2024-05-21,165.12,Basic,1000,250000,1,1,0,C32366861,2022-09-21,2022-10-19,Collision with animal,"063 David Haven Apt. 554, Port Natalie, SC",3465.55,,Under Investigation,0.0
John,Cook,1991-04-19,M,5339 Hall Trail Suite 057,Hughesberg,ND,65424,670,W,ND34353881,Kia,Sportage,2017,NZJNNS9PZEMJGKCQY,Black,Convertible,23006,8719,P382686805,2022-05-22,2023-05-22,690.18,Standard,500,100000,1,0,0,,,,,,,,,
Andrew,Garcia,1982-04-01,M,2478 Oconnor Courts,Lake Michael,DE,18559,577,S,DE66395202,Tesla,Model S,2007,8CW8N57PLE0EWRJIW,Blue,Convertible,2585,7357,P108764274,2022-05-22,2025-05-21,120.98,Premium,1000,25000,0,1,1,,,,,,,,,
Jessica,Shannon,1983-06-13,F,902 Edwards Spring,Port Robinport,MN,99136,445,S,MN09853517,Honda,Accord,2010,9XX0BJ05MXCPXCX1W,Silver,Hatchback,12185,12290,P386249902,2023-05-22,2026-05-21,482.53,Custom,250,250000,0,1,0,C76194094,2024-01-27,2024-02-03,Vandalism damage while parked,"8999 Moore Rest, Gloverhaven, IN",5577.86,4536.47,Closed,1.0
Lorraine,Mclean,1954-02-15,F,1238 Duncan Terrace Apt. 434,Weaverbury,AL,77520,602,S,AL80295758,Dodge,Durango,2018,02K6T845Q7HCJTAQV,Green,Hatchback,13727,12781,P093685930,2023-05-22,2024-05-21,593.01,Standard,1000,1000000,0,1,1,,,,,,,,,
Joshua,Long,1953-11-04,M,673 Paul Island Apt. 654,Carlsonside,PW,09893,713,W,PW97790287,Buick,Regal,2010,VBLRQ3X4HPALWBVV0,Black,Sports Car,4415,15369,P897386601,2023-05-22,2025-05-21,222.52,Standard,500,1000000,0,1,1,,,,,,,,,
Morgan,Suarez,1957-08-21,F,35494 Clinton Parkway,Stevensonbury,NM,22813,806,S,NM01202749,Mazda,CX-30,2008,R081I1CCMN3DN1GZC,Red,Luxury,4249,17313,P745167566,2023-05-22,2025-05-21,222.72,Premium,2000,50000,0,0,1,,,,,,,,,
Erica,Brooks,1986-08-24,F,4969 Jamie Flats Suite 363,Ronaldfurt,NJ,75391,395,W,NJ31780975,Kia,Optima,2020,ZRIYDRUD24DKRF4FX,Blue,Truck,26614,14505,P781233595,2023-05-22,2025-05-21,1370.09,Premium,1000,50000,1,1,1,,,,,,,,,
Kevin,Smith,1987-07-21,M,10518 Joshua Oval,New David,SC,75348,843,S,SC51685131,Hyundai,Tucson,2016,0IQZHECBUQYPIGQX2,Gold,Convertible,8490,13023,P164763250,2024-05-21,2025-05-21,224.14,Custom,1000,50000,1,1,0,,,,,,,,,
Jonathan,Hubbard,1962-06-28,M,6371 Karl Causeway Suite 963,Lake Meganville,GA,78077,755,M,GA06834952,Mazda,Mazda6,2025,CZF2TDCITEGB1DIND,Black,Coupe,15464,9879,P136597864,2023-05-22,2025-05-21,408.25,Custom,250,25000,1,1,1,,,,,,,,,
Jennifer,Castaneda,1951-10-18,F,79749 Lopez Brook Apt. 080,North Julian,DC,16890,350,W,DC21677222,Buick,Encore,2024,IQF1G5FU3HXK13C3Z,Silver,Wagon,29350,15850,P151349437,2023-05-22,2025-05-21,1648.3,Premium,250,1000000,1,0,0,C96698185,2023-12-15,2024-01-11,Fire damage,"2478 Rodriguez Turnpike, Wilsonshire, ME",22665.12,,Under Investigation,0.0
David,Cruz,1946-10-09,M,862 Gregory Ridges,Port Amandaville,AK,12715,614,S,AK56603737,Mazda,CX-3,2016,VMNEDYL7U4GP59Z02,Brown,Hatchback,11952,20694,P465296799,2024-05-21,2027-05-21,567.96,Custom,500,50000,0,1,0,,,,,,,,,
Mario,Peters,1979-10-18,M,47439 Mitchell Radial Apt. 501,Port Markfort,NV,48843,532,W,NV34947253,Honda,CR-V,2024,89YXJH8KGYZM5095T,Gray,SUV,28105,17612,P648616171,2022-05-22,2024-05-21,1112.96,Standard,2000,25000,0,0,0,,,,,,,,,
Savannah,Washington,1962-04-26,F,2250 James Inlet Suite 882,Montgomeryland,AS,26534,660,M,AS09925143,Mercedes,GLE,2005,FI14KMRY09SGWN0MO,Yellow,Sedan,2000,19278,P899896481,2024-05-21,2025-05-21,60.0,Standard,1000,250000,0,1,0,,,,,,,,,
Eric,Terry,1960-02-12,M,862 Huffman Ridge,Lake Karenshire,MA,16188,712,W,MA81933795,Dodge,Ram 1500,2012,54OUX9SLMA5BXJNBZ,Beige,Luxury,16377,10147,P881388878,2023-05-22,2024-05-21,687.83,Standard,500,250000,0,0,1,C19439553,2023-07-05,2023-07-16,Rear-end collision at intersection,"182 Wheeler Ports Apt. 880, Murrayside, FL",4736.78,,Open,1.0
Sandy,Martin,1953-09-04,F,29295 Christopher Flat,Ramirezhaven,VI,25778,481,D,VI07113218,Chrysler,300,2017,F8RDZRQ8EB7U6606U,Blue,SUV,21206,16127,P663588172,2024-05-21,2026-05-21,1108.48,Custom,250,1000000,0,0,0,,,,,,,,,
William,Jones,2004-09-19,M,06462 Page Throughway Apt. 326,Angelaton,OR,40083,715,M,OR63690236,Volkswagen,Tiguan,2005,X1I5482Q78E5SFE0X,Beige,Hatchback,2000,5035,P560058598,2024-05-21,2026-05-21,72.0,Basic,500,250000,0,0,1,C50340314,2025-01-04,2025-01-13,Flood damage,"23622 Peter Camp Suite 968, Melanieview, MO",217.97,,Open,1.0
Randall,Collins,1998-06-02,M,1752 Martin Harbors,Michaelland,AS,23987,468,W,AS33340583,Chevrolet,Silverado,2018,7FDR756SSX82UFL9M,Beige,Truck,27575,22017,P190999579,2022-05-22,2023-05-22,1201.17,Custom,2000,500000,1,0,1,,,,,,,,,
Danielle,Rodriguez,1947-03-23,F,431 Joshua River,Myersville,AR,29322,803,M,AR28672383,BMW,5 Series,2018,HILZNKQ5A36E1JQQX,Black,Sedan,7334,20152,P089126894,2023-05-22,2024-05-21,168.98,Basic,2000,100000,1,1,0,,,,,,,,,
Curtis,Holmes,1941-10-24,M,13062 Kathryn Valley Apt. 369,Samuelberg,NJ,58437,417,D,NJ42472152,Toyota,Highlander,2009,Z5CUWXG8TPN9HT1U3,Black,Truck,2988,14532,P760313083,2024-05-21,2025-05-21,113.59,Basic,1000,1000000,0,1,1,,,,,,,,,
Alyssa,Nelson,2006-12-05,F,58662 Miller River Suite 311,Ericberg,NV,97449,331,M,NV29906386,Lexus,GX,2017,RT8G7QNCWZXQVRT4U,Orange,SUV,27466,21293,P014877315,2022-05-22,2023-05-22,1794.63,Custom,1000,50000,0,0,0,C48562636,2022-07-17,2022-07-27,Collision with guard rail,"85022 Henderson Junction, South Karen, VA",6832.5,,Under Investigation,0.0
Tiffany,Mcguire,1999-04-15,F,11379 Nelson Squares,Brownberg,NJ,28743,343,S,NJ56304489,Honda,HR-V,2007,45GBXZQINMM5DEPNC,Green,Hatchback,2000,23761,P960973488,2022-05-22,2023-05-22,72.0,Standard,500,25000,0,1,0,C20810974,2022-07-23,2022-07-28,Vandalism damage while parked,"190 Douglas Mill, Simonland, GU",132.49,124.54,Closed,0.0
Glenn,Chen,1990-01-24,M,61618 April Ports,West Sarahburgh,GA,97456,383,D,GA20742112,Chevrolet,Malibu,2017,Z27DQTROI91EAF3IH,White,Sports Car,35474,12841,P975772875,2022-05-22,2024-05-21,1430.31,Basic,500,50000,0,1,1,,,,,,,,,
Miguel,Rice,1968-02-06,M,146 Wilson Road Suite 760,West Jessica,OK,62005,628,D,OK07390643,Dodge,Journey,2005,3BTG7GA245J8O98BU,Orange,Coupe,2000,21471,P133922223,2024-05-21,2025-05-21,72.0,Standard,500,100000,0,0,1,,,,,,,,,
Nicholas,Perez,1999-01-23,M,16894 Cameron Cape Suite 478,Ryanberg,MI,45423,514,W,MI91917079,Nissan,Altima,2007,HNOC2XI3RNC02BLU2,Green,SUV,3496,7833,P819248730,2022-05-22,2023-05-22,110.75,Basic,1000,250000,0,0,0,,,,,,,,,
Alexander,Berry,1978-05-08,M,192 Washington Rue Suite 492,West Bryanside,NJ,24734,525,S,NJ78212241,Jeep,Renegade,2021,SWVTQQKLJQKCJEV9Z,Black,Luxury,22753,18629,P264493130,2022-05-22,2025-05-21,1490.78,Premium,1000,250000,1,0,0,,,,,,,,,
Gloria,Schmitt,1976-12-02,F,83437 Johnson Crescent Apt. 727,Nathanfurt,MP,86786,337,M,MP17549456,BMW,3 Series,2015,83UJ09ASFOK80TY97,Yellow,SUV,11083,6554,P176831800,2023-05-22,2026-05-21,438.89,Standard,1000,100000,0,0,1,C19649407,2023-06-06,2023-06-15,Fire damage,"1290 Deleon Terrace Suite 599, North David, IA",3987.19,,Under Investigation,0.0
Tina,Bird,1947-06-20,F,725 Shaw Streets Suite 211,East Erichaven,MT,02289,429,W,MT11797119,BMW,7 Series,2005,BZOPSO6JPRZDI1EOD,Beige,SUV,2000,10526,P951507128,2022-05-22,2024-05-21,104.54,Custom,2000,250000,1,1,0,,,,,,,,,
Rita,Dawson,1944-07-31,F,25267 Briggs Creek,Moyerview,WY,19462,825,S,WY67077017,Chrysler,Sebring,2025,YXSWWKRPC3YVR7K7Z,White,Convertible,46844,23324,P606339907,2022-05-22,2023-05-22,1349.11,Standard,250,100000,1,1,1,,,,,,,,,
Andrew,Johnson,2007-03-10,M,6184 Ferguson Village,Levytown,OR,05356,652,M,OR10559379,Toyota,Highlander,2022,ILVB8DM1AOZUJV1CI,Gold,Coupe,19396,12059,P796188477,2022-05-22,2024-05-21,872.82,Standard,250,50000,0,1,0,,,,,,,,,
Joshua,Ward,1949-03-18,M,4250 Trujillo Divide,South Robertside,LA,30252,495,M,LA62381715,Chevrolet,Traverse,2025,UBC6A41L12IM29NNQ,Silver,Hatchback,20638,16845,P373165248,2023-05-22,2024-05-21,1159.03,Premium,250,1000000,1,1,1,,,,,,,,,
Tristan,Arroyo,1992-07-18,M,734 Brown Centers Suite 485,Mcleanville,TN,62346,707,S,TN26980769,Chrysler,Pacifica,2008,8FVF841RIZK7C5KB3,Black,Van,2408,16972,P664786971,2024-05-21,2025-05-21,57.79,Basic,500,1000000,0,0,0,C17845086,2024-12-07,2024-12-09,Hail damage,"76108 Williams Ferry Suite 971, Port Melissa, MS",821.15,,Under Investigation,0.0
Matthew,Bray,1961-04-16,M,14415 Donna Street Apt. 117,East Alexanderborough,WI,61862,769,S,WI44122693,BMW,5 Series,2019,BOJPGJJBKDYPJZ5EI,White,Sedan,32472,23823,P984601997,2024-05-21,2027-05-21,779.33,Standard,1000,1000000,0,0,0,,,,,,,,,
Richard,Floyd,1976-02-20,M,7198 Cook Hollow,Brownland,IN,48388,460,M,IN26629380,Kia,Soul,2023,ZZO15U50FH61N7FDR,Yellow,Truck,50765,19996,P195226719,2023-05-22,2025-05-21,2010.29,Standard,1000,25000,0,0,1,C41883134,2023-10-13,2023-11-09,Single-vehicle accident due to weather,"88352 Mclaughlin Stream, New Thomastown, MO",23688.09,,Under Investigation,0.0
Brianna,Murray,1986-07-24,F,04565 Keith Pines Apt. 832,New Karenside,DC,42785,328,W,DC69577944,Dodge,Challenger,2014,OL4VFZYKBB5YFTXDX,White,Hatchback,2764,15473,P909518268,2023-05-22,2025-05-21,99.5,Standard,1000,100000,0,1,1,,,,,,,,,
Shirley,Haynes,1958-03-08,F,313 Freeman Trace,Lake Thomas,OH,93803,325,S,OH56387621,Dodge,Journey,2009,19V58B1V1CCOFH919,Orange,Truck,2000,21219,P210100406,2024-05-21,2027-05-21,76.03,Basic,1000,1000000,1,0,0,,,,,,,,,
Isaiah,Avila,1981-12-10,M,48247 Martinez Roads,Lake Eric,NV,72700,417,M,NV76791011,Mercedes,A-Class,2023,1XU2FLI01RV1TWBDC,Blue,Sedan,5011,6728,P358904759,2022-05-22,2023-05-22,198.44,Custom,1000,25000,0,1,0,C27010563,2022-08-18,2022-08-23,Vehicle hit while parked,"680 Andrea Run Suite 294, Mullinston, FL",3680.54,3572.07,Closed,1.0
Brandon,Mays,1984-01-25,M,111 Nicholas Track,North Heather,MH,33706,734,S,MH91950067,Kia,Forte,2009,5AALIRPDGZ2SC0T8D,Blue,Van,8632,7762,P733764876,2023-05-22,2024-05-21,207.17,Basic,500,100000,1,1,0,,,,,,,,,
Lacey,Stephens,1961-05-30,F,9821 Shannon Viaduct Suite 857,Port Danafurt,VA,96662,312,W,VA99033324,Dodge,Challenger,2022,G1ZZROG0JRX2N75WL,Green,Convertible,8714,24189,P484096067,2022-05-22,2024-05-21,250.96,Basic,250,50000,1,0,0,C01607419,2023-05-01,2023-05-23,Vandalism damage while parked,"90448 Brenda Extensions Apt. 533, East Adam, GA",4906.7,,Under Investigation,1.0
Diane,Brewer,1957-05-12,F,4884 Rodriguez Throughway,South Adam,VI,67288,690,W,VI14577870,Buick,Encore,2015,TT7IJA6MIH6SPGY5A,Green,Wagon,21491,22913,P737077084,2024-05-21,2026-05-21,618.94,Basic,500,25000,0,0,0,C14714950,2025-03-11,2025-03-18,Theft of vehicle,"9377 Kelly Prairie, New Amandaberg, WI",12934.03,12066.05,Closed,1.0
Alexandra,Paul,1990-12-29,F,19433 Coffey Camp Suite 793,East Traceyfurt,KY,15042,581,D,KY38878041,Audi,Q5,2010,IY1BFW7JN23648N9J,Green,Sedan,12391,5075,P227557776,2024-05-21,2026-05-21,446.08,Standard,1000,25000,1,0,1,,,,,,,,,
Steven,Manning,1971-09-08,M,48734 Jones Heights Apt. 455,East Edwardfurt,NV,91458,662,W,NV03990366,Honda,HR-V,2018,FRF899OFPVIMI8FO0,Gray,Luxury,47833,9975,P813334502,2024-05-21,2027-05-21,1607.19,Basic,1000,50000,1,0,1,,,,,,,,,
Andrew,Richardson,1983-06-29,M,325 Amber Run,Mclaughlinshire,OH,92624,650,W,OH24157651,Kia,Seltos,2020,OU5MHSBDJ532FPKP5,Silver,Van,21876,7084,P932766845,2024-05-21,2026-05-21,630.03,Basic,250,250000,0,1,1,,,,,,,,,
Joseph,Ferrell,1946-06-16,M,64334 Sims Curve,North Austin,KS,47272,410,S,KS86730263,Buick,Enclave,2018,6Y2S79VICMNIA2Y7V,Beige,Truck,28143,11554,P787796677,2024-05-21,2027-05-21,1471.09,Custom,250,500000,1,0,1,C13628278,2024-12-16,2025-01-13,Backing accident in parking lot,"18676 Wilson Burgs, Espinozaville, AL",20075.1,17875.44,Closed,1.0
Henry,Oliver,1977-08-14,M,7598 Madison Rue Apt. 991,Jessicaborough,FL,69117,840,D,FL30058117,Audi,A6,2022,G6V39HMCR32PIR2YJ,Green,SUV,37919,8479,P421919841,2022-05-22,2023-05-22,1101.17,Custom,500,50000,0,0,1,C43184952,2023-03-15,2023-04-06,Side-impact collision,"52102 Taylor Mount Apt. 664, North Maryburgh, KY",21340.47,,Open,1.0
Johnny,Gray,1976-07-16,M,9327 Lauren Bypass,Andrewview,MS,14227,790,M,MS83909919,Chrysler,PT Cruiser,2024,OYC6H52MJ13M7PC59,Gold,Hatchback,7172,19066,P346969745,2024-05-21,2026-05-21,137.7,Basic,250,500000,1,1,1,C49456509,2025-03-17,2025-04-12,Side-impact collision,"95632 Thomas Haven Apt. 039, North Joland, OK",3358.15,,Under Investigation,1.0
Franklin,Thompson,1942-12-13,M,117 Strickland Passage Apt. 783,Lake Kristahaven,DC,40036,630,D,DC43425458,Mercedes,A-Class,2014,ZHJY8GY39BU4UZ2Z0,Beige,SUV,15582,7897,P455983833,2023-05-22,2025-05-21,592.37,Basic,1000,250000,1,0,1,,,,,,,,,
Howard,Castillo,1945-12-14,M,6753 Wilson Mountain,Donnastad,IN,91854,742,M,IN15006879,Chrysler,PT Cruiser,2011,93I36DE5JAMSLSLEK,White,Truck,15236,17867,P531215525,2023-05-22,2024-05-21,784.35,Premium,250,1000000,0,0,0,,,,,,,,,
Craig,Johnson,1984-04-13,M,1401 Contreras Throughway,Port Davidborough,NY,77519,622,W,NY96667504,Subaru,Outback,2007,77K1D8NRUU8F855MD,Yellow,Sports Car,5089,7630,P291902842,2022-05-22,2023-05-22,205.19,Basic,1000,100000,0,1,0,,,,,,,,,
Andrew,Barrett,1968-02-18,M,0790 Gray Loaf Suite 917,Lake Emilymouth,OK,65608,429,M,OK16093274,Tesla,Model Y,2019,PR1MUYRPK404C5CJB,Yellow,Truck,4523,9290,P338247113,2023-05-22,2026-05-21,179.11,Standard,2000,100000,0,1,0,C71904233,2024-12-27,2025-01-20,Multi-vehicle collision on highway,"7316 Cassandra Forks, Port Samanthafurt, NC",3523.34,,Under Investigation,0.0
Holly,Farmer,1978-06-14,F,998 Chelsea Shoals Suite 024,Sandrastad,IN,01301,796,S,IN64402128,Mazda,MX-5 Miata,2020,9N81DJDI3WDNMVQLT,White,Wagon,14394,18454,P987991068,2023-05-22,2026-05-21,449.09,Premium,1000,25000,0,1,0,,,,,,,,,
Derek,Long,1976-05-07,M,46013 Wise Mills,Lake Virginia,NJ,26607,679,W,NJ41748263,Ford,F-150,2009,362M9E5IMLZ6IOSTU,Gray,Truck,4473,11345,P607571325,2023-05-22,2024-05-21,147.61,Standard,500,25000,0,1,0,,,,,,,,,
Matthew,Jensen,1967-05-16,M,981 Gordon Valley Apt. 463,Port Shawn,CT,50449,365,M,CT31163438,BMW,X1,2024,J5I2MT71RAIH0NOGZ,Beige,Sedan,20169,18339,P626238781,2024-05-21,2027-05-21,798.69,Custom,2000,250000,0,0,0,,,,,,,,,
Jade,Jones,1951-02-11,F,83512 Berry Mill Apt. 827,New Benjaminside,ID,16266,827,S,ID54894574,Jeep,Compass,2010,HOMO7RN7UQI62K3L0,Blue,Wagon,9137,9287,P413884126,2024-05-21,2025-05-21,210.52,Basic,2000,250000,0,1,0,,,,,,,,,
Beverly,Adams,1980-02-25,F,33053 Cheryl Stream Suite 969,Amberfort,WY,73594,479,W,WY57284772,Tesla,Roadster,2014,U15UTSU3W90DPIMRB,Silver,Van,13712,23700,P926321539,2024-05-21,2027-05-21,641.72,Premium,1000,500000,0,0,1,,,,,,,,,
Dylan,Cohen,1994-01-06,M,947 Clark Isle Apt. 287,West Robertberg,RI,62169,752,S,RI00038019,Mazda,MX-5 Miata,2005,TMG2PU2NU4H6FQ3RW,Orange,Coupe,2000,22704,P343581405,2023-05-22,2026-05-21,38.4,Basic,2000,25000,1,1,0,,,,,,,,,
April,Hernandez,1999-06-20,F,1233 Davis Gardens Apt. 850,Mooreville,HI,62209,581,M,HI90002133,Lexus,RX,2025,R4GZTPZMNS7LV5J9X,Gold,Luxury,50440,11990,P759734032,2023-05-22,2025-05-21,2033.74,Basic,1000,500000,0,1,0,,,,,,,,,
Eric,Potter,1970-02-09,M,29929 Cunningham Mall Apt. 487,South Samantha,TX,17762,424,D,TX26296724,Lexus,RX,2018,2GAGPH0RNWK1S2AKA,Orange,Luxury,7132,12113,P273820198,2023-05-22,2026-05-21,287.56,Basic,500,500000,1,0,0,,,,,,,,,
Brandon,Dawson,2001-08-17,M,2585 Anderson Lights Apt. 499,West Yvonnemouth,FM,05845,667,D,FM60018215,Chevrolet,Traverse,2016,0BT7ROL7MAYTXLAA6,Gold,Sports Car,40913,18777,P261730086,2022-05-22,2025-05-21,2577.52,Standard,1000,25000,1,0,0,,,,,,,,,
Adam,Reyes,1969-10-13,M,4990 Valdez Square Apt. 017,Erikhaven,WV,92717,646,S,WV24451324,Dodge,Durango,2021,FNEO2S9NBLGU0TBQO,Beige,Van,25504,24729,P745384088,2023-05-22,2025-05-21,734.52,Basic,250,250000,1,1,1,,,,,,,,,
Jessica,Jensen,1945-07-28,F,6843 Matthew Neck,New Ronaldton,VI,40384,752,D,VI42995159,Buick,Regal,2007,O7MTCOYJ61AJSJJ58,Orange,Wagon,2000,5511,P094923273,2022-05-22,2025-05-21,74.88,Premium,250,500000,0,0,1,C40185630,2025-05-06,2025-05-27,Flood damage,"75485 Justin Station Suite 557, Port Kimberly, AZ",729.94,,Open,0.0
Sarah,Walker,1998-11-14,F,7787 Christopher Street,South Kaylaborough,NH,53129,659,S,NH37083033,Mazda,CX-5,2012,3527FPWBABHWIKVNZ,Yellow,Convertible,14401,18544,P668253480,2024-05-21,2026-05-21,432.03,Standard,250,50000,1,1,0,,,,,,,,,
Michelle,Montes,1980-12-07,F,83473 Gregory Ports Suite 746,Burchborough,LA,79755,440,S,LA72821277,Tesla,Model Y,2019,GDIX1CNAQ2YOTOS87,Orange,Convertible,31278,23922,P715544695,2024-05-21,2025-05-21,1463.81,Premium,1000,25000,0,0,0,,,,,,,,,
Latasha,Aguirre,2004-08-14,F,53364 Taylor Street,Nataliemouth,NE,58874,459,D,NE44651009,Tesla,Roadster,2005,1YHYA0EIVA8T49LXL,Black,SUV,2000,18978,P001950005,2024-05-21,2025-05-21,154.44,Premium,500,50000,0,0,1,,,,,,,,,
Judith,Rodriguez,1988-05-12,F,51342 Karen View,Annashire,VI,28340,521,S,VI87065780,Acura,ILX,2024,M8VH1XSN66RMNR6NO,Gray,Sedan,16846,18843,P786600777,2023-05-22,2025-05-21,485.16,Basic,2000,50000,1,1,0,,,,,,,,,
Jonathan,Hubbard,1962-06-28,M,6371 Karl Causeway Suite 963,Lake Meganville,GA,78077,755,M,GA06834952,Chevrolet,Equinox,2022,XG2G10YC1NE2OOATY,Gray,SUV,48450,20692,P537343222,2023-05-22,2025-05-21,1406.99,Custom,2000,25000,0,0,1,,,,,,,,,
Daniel,Conner,1964-12-12,M,7596 Wood Junctions Suite 356,Bishopstad,PA,43788,356,S,PA36715933,Kia,Telluride,2021,LA6OVM8L10I187YOH,Orange,Wagon,16472,15274,P080189797,2022-05-22,2023-05-22,652.29,Custom,2000,1000000,1,0,1,,,,,,,,,
David,Moore,2006-12-08,M,3333 Wong Forge,North Kenneth,KY,03223,735,M,KY74526149,Mercedes,GLC,2020,PVQ308N32K1IHKPJU,Beige,Sedan,13512,20712,P044769592,2022-05-22,2024-05-21,486.43,Basic,1000,500000,1,0,0,,,,,,,,,
Stephanie,Ibarra,1978-06-24,F,2846 Karen Crossroad Apt. 867,New Michaelburgh,VI,60426,357,M,VI57991628,Lexus,ES,2016,YW1BSDX4W3LNAEHPI,Black,Luxury,13080,8911,P015600938,2024-05-21,2025-05-21,527.39,Basic,250,250000,0,1,0,C69106324,2024-07-24,2024-08-18,Theft of vehicle,"67136 Sanford Coves Apt. 132, East Rachel, VT",10342.92,8474.93,Closed,1.0
John,Nelson,1948-03-19,M,2258 Butler Islands Suite 787,Kennethburgh,IA,18617,779,M,IA49071040,Audi,A6,2010,2CW9J51KPSZ6W8WBZ,Yellow,SUV,5419,13353,P871137927,2024-05-21,2025-05-21,137.34,Basic,250,50000,1,1,1,,,,,,,,,
Benjamin,Jackson,1964-12-07,M,159 Bush Meadows,New Pamela,GA,21092,809,W,GA32324633,Chrysler,300,2013,67ST8LI72W4OEBMQP,Blue,Coupe,3313,17893,P221057113,2023-05-22,2026-05-21,79.51,Standard,2000,25000,1,0,0,,,,,,,,,
Mark,Jimenez,1989-01-03,M,609 Peter Ridge,Denniston,LA,10495,600,M,LA85045428,Chrysler,Pacifica,2009,2NFZKXY2YA9MUB6QF,Black,Van,4529,18925,P786296317,2024-05-21,2025-05-21,130.44,Basic,500,1000000,0,1,1,,,,,,,,,
Margaret,Gonzales,1953-02-09,F,09883 Emily Lake Apt. 021,Kimberlystad,PR,88274,386,D,PR17107214,Toyota,Highlander,2018,PL8109JNB5X69PHWN,Blue,Sedan,7811,7887,P676093741,2023-05-22,2024-05-21,371.18,Custom,500,250000,0,0,0,,,,,,,,,
David,Ramsey,1941-01-24,M,877 Kenneth Run Apt. 581,East Teresaside,PW,70389,308,D,PW40020554,Jeep,Cherokee,2008,BJK8JV7OJMP6O6F7N,Blue,SUV,2386,8828,P410494495,2022-05-22,2024-05-21,90.71,Basic,2000,50000,1,1,1,C96225053,2024-01-12,2024-01-31,Vehicle hit while parked,"25121 Jessica Mountain, Michelestad, NC",1204.45,,Under Investigation,1.0
Geoffrey,Rodriguez,1984-11-26,M,5598 Allen Harbor,New Patrick,AL,14442,389,W,AL61577108,Dodge,Grand Caravan,2020,ZYYBDAU8EZKXQ80I4,Red,Luxury,27870,23331,P831769209,2023-05-22,2024-05-21,1545.11,Custom,500,500000,0,0,0,,,,,,,,,
Brian,Navarro,2002-11-14,M,1391 Murphy Prairie Suite 363,North Gregory,DE,36486,392,M,DE19092140,Jeep,Grand Cherokee,2020,H245L5DO3GQ83QG5O,Red,SUV,29187,24552,P063110396,2023-05-22,2025-05-21,2253.82,Premium,500,500000,0,0,0,,,,,,,,,
Michael,Perry,1967-07-14,M,74906 Heather Mission Apt. 311,East Rachelfort,MS,09217,709,W,MS99914461,Jeep,Compass,2025,S1BCEZ15RVMK6TTGD,Brown,Convertible,48564,8140,P115402340,2023-05-22,2024-05-21,1602.61,Custom,2000,500000,1,0,0,,,,,,,,,
Jesse,Sampson,1954-02-03,M,15031 Hunter Union Suite 823,Sandrahaven,NC,41180,819,M,NC54417332,Ford,Mustang,2021,ZBO70B2AUBNBWGSKW,Orange,SUV,7164,20496,P756374105,2023-05-22,2026-05-21,226.96,Standard,2000,250000,1,0,1,,,,,,,,,
Alan,Flores,1972-07-29,M,3034 Natalie Passage Apt. 179,Martinborough,WI,68860,837,W,WI17149041,Dodge,Challenger,2024,90M1SHRSKR6L5A2LS,Beige,Truck,9123,11553,P978235186,2022-05-22,2025-05-21,240.85,Standard,500,50000,0,1,0,,,,,,,,,
